Timestamp,Int Temp,Int Hum,Ext Temp,Ext Hum,SystemV,RadiatorTemp
'19 Mar - 00:58:57',11.00,36.00,6.000,79.00,3.39,8.00
'19 Mar - 00:59:57',11.00,36.00,6.000,79.00,3.39,8.00
'19 Mar - 01:00:57',11.00,36.00,6.000,79.00,3.39,7.94
'19 Mar - 01:01:57',11.00,36.00,6.000,79.00,3.39,7.94
'19 Mar - 01:02:57',11.00,36.00,6.000,79.00,3.39,8.00
'19 Mar - 01:03:57',11.00,36.00,6.000,79.00,3.39,8.00
'19 Mar - 01:04:57',11.00,37.00,6.000,79.00,3.39,8.00
'19 Mar - 01:05:57',11.00,36.00,6.000,79.00,3.39,8.00
'19 Mar - 01:06:57',11.00,37.00,6.000,79.00,3.39,8.00
'19 Mar - 01:07:57',11.00,36.00,6.000,79.00,3.39,8.00
'19 Mar - 01:08:57',11.00,36.00,6.000,79.00,3.39,7.94
'19 Mar - 01:09:57',11.00,36.00,6.000,79.00,3.39,8.00
'19 Mar - 01:10:57',11.00,36.00,6.000,79.00,3.39,8.00
'19 Mar - 01:11:57',11.00,37.00,6.000,79.00,3.39,8.00
'19 Mar - 01:12:57',11.00,36.00,6.000,79.00,3.39,7.94
'19 Mar - 01:13:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:14:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:15:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:16:57',11.00,37.00,6.000,80.00,3.39,7.94
'19 Mar - 01:17:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:18:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:19:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:20:57',11.00,36.00,6.000,80.00,3.39,7.94
'19 Mar - 01:21:57',11.00,36.00,6.000,80.00,3.39,7.94
'19 Mar - 01:22:57',11.00,36.00,6.000,80.00,3.39,7.94
'19 Mar - 01:23:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:24:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:25:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:26:57',11.00,36.00,6.000,80.00,3.39,7.94
'19 Mar - 01:27:57',11.00,36.00,6.000,80.00,3.39,7.94
'19 Mar - 01:28:57',11.00,36.00,6.000,80.00,3.39,7.94
'19 Mar - 01:29:57',11.00,36.00,6.000,80.00,3.39,7.94
'19 Mar - 01:30:57',11.00,36.00,6.000,80.00,3.39,7.94
'19 Mar - 01:31:57',11.00,36.00,6.000,80.00,3.39,7.94
'19 Mar - 01:32:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:33:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:34:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:35:57',11.00,37.00,6.000,80.00,3.39,8.00
'19 Mar - 01:36:57',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:37:58',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:38:58',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:39:58',11.00,37.00,6.000,80.00,3.39,8.00
'19 Mar - 01:40:58',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:41:58',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:42:58',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:43:58',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:44:58',11.00,36.00,6.000,80.00,3.39,8.00
'19 Mar - 01:45:58',11.00,36.00,6.000,81.00,3.39,8.00
'19 Mar - 01:46:58',11.00,36.00,6.000,81.00,3.39,8.00
'19 Mar - 01:47:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 01:48:58',11.00,36.00,6.000,81.00,3.39,8.00
'19 Mar - 01:49:58',11.00,37.00,6.000,81.00,3.39,8.00
'19 Mar - 01:50:58',11.00,36.00,6.000,81.00,3.39,8.00
'19 Mar - 01:51:58',11.00,36.00,6.000,81.00,3.39,8.00
'19 Mar - 01:52:58',11.00,36.00,6.000,81.00,3.39,8.00
'19 Mar - 01:53:58',11.00,36.00,6.000,81.00,3.39,8.00
'19 Mar - 01:54:58',11.00,36.00,6.000,81.00,3.39,8.00
'19 Mar - 01:55:58',11.00,37.00,6.000,81.00,3.39,8.00
'19 Mar - 01:56:58',11.00,36.00,6.000,81.00,3.39,8.00
'19 Mar - 01:57:58',11.00,37.00,6.000,81.00,3.39,7.94
'19 Mar - 01:58:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 01:59:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 02:00:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 02:01:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 02:02:58',11.00,37.00,6.000,81.00,3.39,7.94
'19 Mar - 02:03:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 02:04:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 02:05:58',11.00,36.00,6.000,81.00,3.39,7.87
'19 Mar - 02:06:58',11.00,36.00,6.000,81.00,3.39,7.87
'19 Mar - 02:07:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 02:08:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 02:09:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 02:10:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 02:11:58',11.00,37.00,6.000,81.00,3.39,7.94
'19 Mar - 02:12:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 02:13:58',11.00,36.00,6.000,81.00,3.39,7.87
'19 Mar - 02:14:58',11.00,37.00,6.000,81.00,3.39,7.87
'19 Mar - 02:15:58',11.00,36.00,6.000,81.00,3.39,7.94
'19 Mar - 02:16:58',11.00,37.00,6.000,81.00,3.39,7.87
'19 Mar - 02:17:58',11.00,37.00,6.000,81.00,3.39,7.87
'19 Mar - 02:18:58',11.00,36.00,6.000,81.00,3.39,7.87
'19 Mar - 02:19:58',11.00,36.00,6.000,81.00,3.39,7.87
'19 Mar - 02:20:58',11.00,36.00,6.000,81.00,3.39,7.87
'19 Mar - 02:21:58',11.00,37.00,6.000,81.00,3.39,7.87
'19 Mar - 02:22:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 02:23:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:24:58',11.00,37.00,6.000,82.00,3.39,7.94
'19 Mar - 02:25:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:26:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 02:27:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:28:58',11.00,37.00,6.000,82.00,3.39,7.87
'19 Mar - 02:29:58',11.00,37.00,6.000,82.00,3.39,7.94
'19 Mar - 02:30:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:31:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:32:58',11.00,37.00,6.000,82.00,3.39,7.94
'19 Mar - 02:33:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:34:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:35:58',11.00,37.00,6.000,82.00,3.39,7.94
'19 Mar - 02:36:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:37:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:38:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:39:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 02:40:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:41:58',11.00,37.00,6.000,82.00,3.39,7.94
'19 Mar - 02:42:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:43:58',11.00,37.00,6.000,82.00,3.39,7.94
'19 Mar - 02:44:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:45:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:46:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:47:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:48:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:49:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:50:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:51:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:52:58',11.00,37.00,6.000,82.00,3.39,7.94
'19 Mar - 02:53:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:54:58',11.00,37.00,6.000,82.00,3.39,8.00
'19 Mar - 02:55:58',11.00,36.00,6.000,82.00,3.39,8.00
'19 Mar - 02:56:58',11.00,36.00,6.000,82.00,3.39,8.00
'19 Mar - 02:57:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:58:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 02:59:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 03:00:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 03:01:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 03:02:58',11.00,36.00,6.000,82.00,3.39,7.94
'19 Mar - 03:03:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:04:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:05:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:06:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:07:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:08:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:09:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:10:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:11:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:12:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:13:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:14:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:15:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:16:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:17:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:18:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:19:58',11.00,36.00,6.000,82.00,3.39,7.87
'19 Mar - 03:20:58',11.00,37.00,6.000,82.00,3.39,7.87
'19 Mar - 03:21:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:22:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:23:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:24:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:25:58',11.00,37.00,6.000,83.00,3.39,7.87
'19 Mar - 03:26:58',11.00,37.00,6.000,83.00,3.39,7.87
'19 Mar - 03:27:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:28:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:29:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:30:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:31:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:32:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:33:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:34:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:35:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:36:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:37:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:38:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:39:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:40:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:41:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:42:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:43:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:44:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:45:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 03:46:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:47:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:48:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:49:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:50:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:51:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:52:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:53:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:54:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:55:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:56:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:57:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:58:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 03:59:58',11.00,36.00,6.000,83.00,3.39,7.94
'19 Mar - 04:00:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 04:01:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 04:02:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 04:03:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 04:04:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 04:05:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 04:06:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 04:07:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 04:08:58',11.00,36.00,6.000,83.00,3.39,7.87
'19 Mar - 04:09:58',11.00,37.00,5.000,83.00,3.39,7.81
'19 Mar - 04:10:58',11.00,36.00,5.000,83.00,3.39,7.87
'19 Mar - 04:11:58',11.00,36.00,6.000,83.00,3.40,7.87
'19 Mar - 04:12:58',11.00,36.00,5.000,83.00,3.39,7.87
'19 Mar - 04:13:58',11.00,37.00,5.000,83.00,3.39,7.87
'19 Mar - 04:14:58',11.00,37.00,5.000,83.00,3.39,7.87
'19 Mar - 04:15:58',11.00,36.00,5.000,83.00,3.39,7.87
'19 Mar - 04:16:58',11.00,36.00,5.000,83.00,3.40,7.87
'19 Mar - 04:17:58',11.00,36.00,5.000,83.00,3.40,7.81
'19 Mar - 04:18:58',11.00,36.00,5.000,83.00,3.39,7.81
'19 Mar - 04:19:58',11.00,36.00,6.000,83.00,3.39,7.81
'19 Mar - 04:20:58',11.00,36.00,6.000,84.00,3.39,7.81
'19 Mar - 04:21:58',11.00,36.00,5.000,84.00,3.39,7.81
'19 Mar - 04:22:58',11.00,36.00,6.000,84.00,3.40,7.81
'19 Mar - 04:23:58',11.00,36.00,5.000,84.00,3.39,7.81
'19 Mar - 04:24:58',11.00,36.00,5.000,84.00,3.39,7.81
'19 Mar - 04:25:58',11.00,36.00,6.000,84.00,3.39,7.81
'19 Mar - 04:26:58',11.00,36.00,5.000,84.00,3.39,7.81
'19 Mar - 04:27:58',11.00,36.00,5.000,84.00,3.39,7.81
'19 Mar - 04:28:58',11.00,36.00,5.000,84.00,3.39,7.81
'19 Mar - 04:29:58',11.00,36.00,5.000,84.00,3.39,7.81
'19 Mar - 04:30:58',11.00,37.00,5.000,84.00,3.39,7.75
'19 Mar - 04:31:58',11.00,36.00,5.000,84.00,3.39,7.75
'19 Mar - 04:32:58',11.00,36.00,5.000,84.00,3.39,7.75
'19 Mar - 04:33:58',11.00,36.00,5.000,84.00,3.39,7.81
'19 Mar - 04:34:58',11.00,36.00,5.000,84.00,3.39,7.81
'19 Mar - 04:35:58',11.00,37.00,5.000,84.00,3.39,7.75
'19 Mar - 04:36:58',11.00,36.00,5.000,84.00,3.39,7.75
'19 Mar - 04:37:58',11.00,37.00,5.000,84.00,3.39,7.75
'19 Mar - 04:38:58',11.00,36.00,5.000,84.00,3.39,7.75
'19 Mar - 04:39:58',11.00,36.00,5.000,84.00,3.39,7.75
'19 Mar - 04:40:58',11.00,36.00,5.000,84.00,3.39,7.75
'19 Mar - 04:41:58',11.00,36.00,5.000,84.00,3.39,7.69
'19 Mar - 04:42:58',11.00,36.00,5.000,84.00,3.39,7.69
'19 Mar - 04:43:58',11.00,36.00,5.000,84.00,3.39,7.69
'19 Mar - 04:44:58',11.00,36.00,5.000,84.00,3.39,7.75
'19 Mar - 04:45:58',11.00,36.00,5.000,85.00,3.39,7.75
'19 Mar - 04:46:58',11.00,36.00,5.000,85.00,3.39,7.69
'19 Mar - 04:47:58',11.00,36.00,5.000,85.00,3.39,7.75
'19 Mar - 04:48:58',11.00,36.00,5.000,85.00,3.40,7.69
'19 Mar - 04:49:58',11.00,36.00,5.000,85.00,3.39,7.75
'19 Mar - 04:50:58',11.00,36.00,5.000,85.00,3.39,7.75
'19 Mar - 04:51:58',11.00,36.00,5.000,85.00,3.40,7.69
'19 Mar - 04:52:58',11.00,36.00,5.000,85.00,3.39,7.75
'19 Mar - 04:53:58',11.00,36.00,5.000,85.00,3.39,7.69
'19 Mar - 04:54:58',11.00,37.00,5.000,85.00,3.39,7.69
'19 Mar - 04:55:58',11.00,36.00,5.000,85.00,3.39,7.75
'19 Mar - 04:56:58',11.00,37.00,5.000,85.00,3.39,7.75
'19 Mar - 04:57:58',11.00,36.00,5.000,85.00,3.39,7.75
'19 Mar - 04:58:58',11.00,36.00,5.000,85.00,3.39,7.69
'19 Mar - 04:59:58',11.00,36.00,5.000,85.00,3.39,7.69
'19 Mar - 05:00:58',11.00,37.00,5.000,85.00,3.39,7.69
'19 Mar - 05:01:58',11.00,36.00,5.000,85.00,3.39,7.69
'19 Mar - 05:02:58',11.00,36.00,5.000,85.00,3.39,7.69
'19 Mar - 05:03:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:04:58',11.00,36.00,5.000,85.00,3.39,7.69
'19 Mar - 05:05:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:06:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:07:58',11.00,36.00,6.000,85.00,3.39,7.62
'19 Mar - 05:08:58',11.00,37.00,5.000,85.00,3.39,7.69
'19 Mar - 05:09:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:10:58',11.00,37.00,5.000,85.00,3.39,7.69
'19 Mar - 05:11:58',11.00,36.00,5.000,85.00,3.39,7.69
'19 Mar - 05:12:58',11.00,36.00,5.000,85.00,3.39,7.69
'19 Mar - 05:13:58',11.00,37.00,5.000,85.00,3.40,7.69
'19 Mar - 05:14:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:15:58',11.00,36.00,5.000,85.00,3.40,7.62
'19 Mar - 05:16:58',11.00,37.00,5.000,85.00,3.39,7.62
'19 Mar - 05:17:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:18:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:19:58',11.00,37.00,11.11,11.11,3.39,7.62
'19 Mar - 05:20:58',11.00,37.00,5.000,85.00,3.39,7.62
'19 Mar - 05:21:58',11.00,37.00,5.000,85.00,3.39,7.69
'19 Mar - 05:22:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:23:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:24:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:25:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:26:58',11.00,37.00,5.000,85.00,3.39,7.62
'19 Mar - 05:27:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:28:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:29:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:30:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:31:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:32:58',11.00,36.00,5.000,85.00,3.39,7.62
'19 Mar - 05:33:58',11.00,36.00,5.000,85.00,3.39,7.56
'19 Mar - 05:34:58',11.00,36.00,5.000,85.00,3.39,7.56
'19 Mar - 05:35:58',11.00,36.00,5.000,85.00,3.39,7.56
'19 Mar - 05:36:58',11.00,36.00,5.000,85.00,3.39,7.56
'19 Mar - 05:37:58',11.00,36.00,5.000,85.00,3.39,7.56
'19 Mar - 05:38:58',11.00,36.00,5.000,85.00,3.39,7.56
'19 Mar - 05:39:58',11.00,36.00,5.000,86.00,3.39,7.56
'19 Mar - 05:40:58',11.00,37.00,5.000,86.00,3.39,7.56
'19 Mar - 05:41:58',11.00,36.00,5.000,86.00,3.39,7.56
'19 Mar - 05:42:58',11.00,37.00,5.000,86.00,3.39,7.56
'19 Mar - 05:43:58',11.00,37.00,5.000,86.00,3.39,7.56
'19 Mar - 05:44:58',11.00,36.00,5.000,86.00,3.39,7.56
'19 Mar - 05:45:58',11.00,37.00,5.000,86.00,3.39,7.50
